person_age,person_gender,person_education,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,person_income_log,loan_amnt_log
22.0,female,Master,0,RENT,PERSONAL,16.02,0.49,3.0,561,No,1,11.183698914847861,10.46310334047155
21.0,female,High School,0,OWN,EDUCATION,11.14,0.08,2.0,504,Yes,0,9.415890054889344,6.907755278982137
25.0,female,High School,3,MORTGAGE,MEDICAL,12.87,0.44,3.0,635,No,1,9.428511581663834,8.612503371220562
23.0,female,Bachelor,0,RENT,MEDICAL,15.23,0.44,2.0,675,No,1,11.286689637494428,10.46310334047155
24.0,male,Master,1,RENT,MEDICAL,14.27,0.53,4.0,586,No,1,11.099453386460148,10.46310334047155
21.0,female,High School,0,OWN,VENTURE,7.14,0.19,2.0,532,No,1,9.468928284223587,7.824046010856292
26.0,female,Bachelor,1,RENT,EDUCATION,12.42,0.37,3.0,701,No,1,11.445406506739277,10.46310334047155
24.0,female,High School,5,RENT,MEDICAL,11.11,0.37,4.0,585,No,1,11.467404949668419,10.46310334047155
24.0,female,Associate,3,RENT,PERSONAL,8.9,0.35,2.0,544,No,1,11.51974217829715,10.46310334047155
21.0,female,High School,0,OWN,VENTURE,14.74,0.13,3.0,640,No,1,9.452423433109788,7.3777589082278725
22.0,female,High School,0,RENT,VENTURE,10.37,0.34,4.0,621,No,1,11.542338625538578,10.46310334047155
21.0,female,Associate,0,OWN,HOMEIMPROVEMENT,8.63,0.34,2.0,651,No,1,9.481359383531425,8.411832675758411
23.0,male,Bachelor,3,RENT,VENTURE,7.9,0.3,2.0,573,No,1,11.651469274418288,10.46310334047155
26.0,male,Master,0,RENT,EDUCATION,18.39,0.27,4.0,708,No,1,11.780759359088396,10.46310334047155
23.0,female,Associate,0,RENT,EDUCATION,7.9,0.25,4.0,583,No,0,11.842214823520106,10.46310334047155
23.0,female,Master,5,MORTGAGE,DEBTCONSOLIDATION,10.65,0.05,3.0,670,Yes,0,13.306168832676155,10.308952660644293
23.0,male,Bachelor,0,RENT,EDUCATION,7.9,0.24,4.0,663,No,0,11.884095840669021,10.46310334047155
23.0,female,High School,0,RENT,MEDICAL,20.0,0.31,4.0,694,No,1,11.620604291268087,10.46310334047155
23.0,male,Bachelor,0,RENT,DEBTCONSOLIDATION,18.25,0.26,4.0,709,No,1,11.825017183151767,10.46310334047155
24.0,female,Master,1,MORTGAGE,EDUCATION,10.99,0.12,2.0,679,No,1,9.566825297862628,7.4673710669175595
25.0,male,Bachelor,0,RENT,VENTURE,7.49,0.18,4.0,684,Yes,0,12.184430126671103,10.46310334047155
25.0,male,High School,4,RENT,PERSONAL,16.77,0.21,2.0,662,No,0,12.018489269614514,10.457372665762566
22.0,female,Master,0,RENT,EDUCATION,17.58,0.43,4.0,691,No,1,11.280425781231992,10.4341158035983
24.0,female,Bachelor,0,OWN,PERSONAL,7.29,0.11,3.0,600,Yes,0,9.537195079502435,7.313220387090301
22.0,male,Bachelor,1,RENT,PERSONAL,14.54,0.35,4.0,691,No,1,11.486786807360534,10.432644132986843
24.0,female,High School,0,RENT,HOMEIMPROVEMENT,12.68,0.4,3.0,654,No,1,11.319862424444183,10.404262840448617
21.0,female,Associate,0,MORTGAGE,VENTURE,17.74,0.32,3.0,626,No,1,9.567175303116281,8.428361977709622
23.0,male,High School,0,OWN,PERSONAL,9.32,0.1,3.0,607,No,0,9.567525185909115,7.24422751560335
24.0,female,Bachelor,1,RENT,HOMEIMPROVEMENT,9.99,0.41,3.0,700,No,1,11.277886442242952,10.388995368317829
21.0,female,Bachelor,0,,EDUCATION,12.84,0.27,2.0,553,No,1,9.615005159913578,8.294049640102028
21.0,male,High School,0,OWN,MEDICAL,11.12,0.13,3.0,589,No,1,9.606293719711752,7.600902459542082
25.0,male,Bachelor,1,RENT,VENTURE,6.62,0.22,2.0,586,Yes,0,11.883488521069127,10.373491181781864
26.0,male,Bachelor,2,RENT,HOMEIMPROVEMENT,14.17,0.27,3.0,681,No,1,11.649595676345093,10.343354087361625
25.0,female,High School,3,RENT,DEBTCONSOLIDATION,13.85,0.07,3.0,567,Yes,0,12.816150668333114,10.096171896365629
26.0,female,Associate,1,MORTGAGE,MEDICAL,13.49,0.02,4.0,669,No,0,12.796843741473252,8.961879012677683
21.0,male,Associate,0,OWN,EDUCATION,7.51,0.17,4.0,600,No,1,9.625755810937516,7.824046010856292
22.0,female,Bachelor,0,RENT,EDUCATION,18.39,0.51,2.0,606,No,1,10.983052928284003,10.308952660644293
24.0,male,High School,3,RENT,DEBTCONSOLIDATION,14.54,0.38,3.0,582,No,1,11.264797383461849,10.308952660644293
25.0,male,Bachelor,4,RENT,HOMEIMPROVEMENT,16.89,0.33,4.0,649,No,1,11.416249352704767,10.308952660644293
23.0,female,High School,0,RENT,DEBTCONSOLIDATION,11.01,0.35,4.0,602,No,1,11.371488620729712,10.308952660644293
26.0,male,Bachelor,5,RENT,MEDICAL,17.99,0.4,2.0,616,No,1,11.231927669547035,10.308952660644293
24.0,female,High School,0,OWN,VENTURE,12.69,0.17,3.0,631,No,1,9.621257258762592,7.824046010856292
26.0,male,Bachelor,5,MORTGAGE,VENTURE,7.88,0.06,4.0,684,Yes,0,12.797444542467003,9.903487552536127
23.0,male,High School,0,OWN,EDUCATION,19.41,0.07,2.0,637,Yes,0,12.79814732596115,10.096171896365629
26.0,male,Master,5,OWN,HOMEIMPROVEMENT,10.38,0.03,4.0,649,No,0,12.795746417613843,9.210340371976184
26.0,male,Bachelor,5,MORTGAGE,EDUCATION,15.33,0.07,3.0,695,Yes,0,12.79656952337397,10.126631103850338
25.0,female,Bachelor,2,MORTGAGE,HOMEIMPROVEMENT,16.45,0.05,3.0,620,No,0,12.797308909274308,9.798127036878302
26.0,male,Bachelor,2,RENT,PERSONAL,7.49,0.31,3.0,622,No,1,11.495066946668915,10.308952660644293
22.0,female,High School,0,RENT,MEDICAL,12.69,0.37,3.0,645,No,1,11.300202430983903,10.308952660644293
26.0,male,Master,2,RENT,DEBTCONSOLIDATION,6.62,0.28,3.0,654,No,1,11.58948827867619,10.308952660644293
24.0,female,Bachelor,2,RENT,DEBTCONSOLIDATION,11.01,0.32,4.0,624,No,1,11.457930591341297,10.308952660644293
23.0,male,High School,1,RENT,DEBTCONSOLIDATION,18.62,0.32,3.0,570,No,1,11.456884074086604,10.308952660644293
23.0,male,Bachelor,3,RENT,PERSONAL,15.23,0.27,3.0,648,No,1,11.61866290958141,10.308952660644293
23.0,female,Associate,0,RENT,VENTURE,10.65,0.26,2.0,652,No,1,11.672063686308526,10.308952660644293
25.0,male,Bachelor,3,RENT,EDUCATION,7.9,0.21,4.0,559,No,0,11.884385567775707,10.308952660644293
26.0,male,High School,7,RENT,PERSONAL,15.96,0.03,3.0,623,Yes,0,12.728232790230926,9.210340371976184
26.0,male,Associate,2,RENT,VENTURE,11.48,0.06,3.0,602,Yes,0,12.717596025807461,9.903487552536127
23.0,male,Bachelor,1,OWN,PERSONAL,11.01,0.1,4.0,609,No,0,12.717095249894212,10.46310334047155
25.0,male,Master,1,RENT,PERSONAL,7.29,0.19,4.0,573,Yes,0,11.949844019477082,10.308952660644293
24.0,male,Associate,1,OWN,VENTURE,11.01,0.11,3.0,631,Yes,0,9.63095678385169,7.4673710669175595
21.0,female,Bachelor,0,RENT,VENTURE,5.99,0.19,4.0,623,Yes,0,11.972487267598538,10.308952660644293
22.0,female,Bachelor,0,OWN,VENTURE,11.58,0.04,2.0,602,Yes,0,12.709976368117195,9.392661928770137
26.0,female,High School,6,MORTGAGE,EDUCATION,11.01,0.03,4.0,579,No,1,12.664971089835388,9.210340371976184
25.0,female,Associate,0,MORTGAGE,MEDICAL,15.7,0.09,2.0,582,No,1,12.497513893419907,10.126631103850338
22.0,male,Master,0,RENT,EDUCATION,15.99,0.34,3.0,700,No,1,11.352651073434947,10.278493453159584
22.0,male,Associate,0,MORTGAGE,EDUCATION,14.84,0.1,3.0,688,No,0,9.616671771412305,7.313220387090301
26.0,male,Bachelor,3,OWN,HOMEIMPROVEMENT,10.99,0.09,3.0,607,Yes,0,12.654277907314498,10.239959789157341
25.0,female,Bachelor,0,MORTGAGE,HOMEIMPROVEMENT,14.42,0.06,2.0,661,Yes,0,12.65060460880224,9.903487552536127
24.0,male,High School,5,MORTGAGE,EDUCATION,6.99,0.03,2.0,562,Yes,0,12.634267465388985,9.169518377455928
25.0,female,Bachelor,0,RENT,MEDICAL,13.49,0.08,4.0,664,Yes,0,12.615317268930346,10.126631103850338
25.0,male,High School,1,OWN,MEDICAL,11.01,0.2,3.0,564,No,1,9.626547576616248,8.006367567650246
22.0,male,Associate,0,RENT,MEDICAL,11.01,0.41,2.0,598,No,1,11.142470294051513,10.239959789157341
21.0,female,High School,0,OWN,EDUCATION,13.61,0.2,3.0,557,No,1,9.636065519091707,8.006367567650246
23.0,female,Associate,0,RENT,EDUCATION,7.9,0.35,2.0,677,No,1,11.279516908298021,10.239959789157341
26.0,male,Bachelor,4,RENT,VENTURE,7.49,0.27,3.0,690,No,1,11.539119389052704,10.239959789157341
26.0,male,Associate,1,OWN,EDUCATION,7.51,0.4,3.0,599,No,1,9.63095678385169,8.716044050161402
22.0,male,High School,0,RENT,VENTURE,9.91,0.26,3.0,604,No,1,11.576519790495382,10.239959789157341
21.0,female,Bachelor,0,OWN,PERSONAL,13.48,0.28,4.0,663,No,1,9.632465920977454,8.34283980427146
22.0,male,Bachelor,3,OWN,DEBTCONSOLIDATION,7.14,0.31,2.0,601,No,1,9.644198554585564,8.465899897028686
24.0,male,High School,1,RENT,VENTURE,15.99,0.28,4.0,634,No,1,11.516239965938059,10.239959789157341
24.0,male,Bachelor,2,RENT,EDUCATION,12.98,0.06,3.0,671,No,0,12.614702739781494,9.798127036878302
25.0,female,Bachelor,1,RENT,DEBTCONSOLIDATION,12.69,0.23,3.0,622,No,0,11.704058090042732,10.239959789157341
26.0,male,Associate,1,RENT,EDUCATION,8.9,0.21,2.0,538,Yes,0,11.800897495380138,10.239959789157341
